date,fear_greed,funding_rate,rsi,macd_hist,ema_fast_over_slow,risk_on_return
2026-01-05,15,-0.03,30,-1,false,-0.04
2026-01-12,20,-0.02,34,-1,false,-0.02
2026-01-19,28,-0.01,40,1,false,0.01
2026-01-26,38,0.0,46,1,true,0.02
2026-02-02,50,0.005,52,1,true,0.03
2026-02-09,58,0.01,57,1,true,0.025
2026-02-16,64,0.012,60,1,true,0.03
2026-02-23,68,0.015,63,1,true,0.02
2026-03-02,72,0.02,66,1,true,0.025
2026-03-09,76,0.03,70,1,true,0.015
2026-03-16,84,0.05,75,1,true,0.01
2026-03-23,90,0.07,79,1,true,-0.03
2026-03-30,88,0.06,76,-1,true,-0.08
2026-04-06,60,0.0,50,-1,false,-0.06
2026-04-13,42,-0.02,42,-1,false,-0.05
2026-04-20,28,-0.03,35,-1,false,-0.03
2026-04-27,22,-0.02,33,-1,false,-0.01
2026-05-04,30,-0.01,40,1,false,0.01
2026-05-11,40,0.0,46,1,true,0.02
2026-05-18,52,0.005,53,1,true,0.03
2026-05-25,60,0.01,58,1,true,0.025
2026-06-01,66,0.015,62,1,true,0.02
2026-06-08,70,0.02,65,1,true,0.015
2026-06-15,74,0.025,68,1,true,0.01
